favorite_count,retweet_count,tweet_id
33819,6514,892177421306343426
42908,8964,891689557279858688
20562,3261,891087950875897856
56848,16716,890729181411237888
32467,7711,890240255349198849
28268,5156,889880896479866881
27672,4735,889638837579907072
25652,5637,889278841981685760
26080,4559,888804989199671297
22201,3653,888078434458587136
46959,12082,887517139158093824
34222,10737,887343217045368832
35859,8084,886983233522544640
22798,4610,886680336477933568
117,4,886267009285017600
0,108,886054160059072513
36689,6683,885528943205470208
0,19297,885311592912609280
68152,16439,884925521741709313
24765,5100,884562892145688576
74423,21298,884247878851493888
22349,3586,883838122936631299
22986,3825,883360690899218434
24445,4122,882992080364220416
28382,6342,882627270321602560
29900,5203,882045870035918850
51522,11099,881666595344535552
50199,16570,881536004380872706
17346,2886,880935762899988482
29075,6546,880465832366813184
28150,4533,880095782870896641
315,10,879674319642796034
107956,45849,879415818425184262
0,7181,879130579576475649
19317,2812,879008229531029506
30931,7582,878604707211726852
0,6965,878316110768087041
42876,7181,878057613040115712
0,83,877611172832227328
27907,5414,877316821321428993
21125,3506,876838120628539392
19163,2511,876484053909872640
25773,4497,875747767867523072
27997,6342,875097192612077568
28439,4875,874680097055178752
26651,4308,874296783580663808
35501,11007,874012996292530176
24837,4143,873580283840344065
7467,1667,873213775632977920
15029,3884,872820683541237760
21309,3911,872620804844003328
35085,6649,872261713294495745
39090,11918,871879754684805121
20730,3628,871515927908634625
21461,5764,871102520638267392
33791,6393,870804317367881728
12819,2817,870656317836468226
22453,4384,870308999962521604
0,25661,869988702071779329
29116,6728,869702957897576449
21112,4023,869227993411051520
0,2240,868639477480148993
10539,2240,868552278524837888
35179,7788,867774946302451713
0,135,867072653475098625
0,32883,866816280283807744
20070,3727,866686824827068416
54720,15546,866334964761202691
26640,6008,865718153858494464
29063,8209,865006731092295680
15195,3266,864279568663928832
21477,4441,863907417377173506
0,2687,863471782782697472
2363,105,863427515083354112
8945,2687,863062471531167744
17779,3809,862722525377298433
66437,21840,862096992088072192
37744,11528,861383897657036800
17538,4119,861005113778896900
0,882,860924035999428608
24678,5698,860524505164394496
17474,6295,860184849394610176
20021,4349,859924526012018688
19476,1704,859607811541651456
35553,14740,859074603037188101
16304,3771,858843525470990336
16524,3154,858107933456039936
36021,11524,857746408056729600
21041,4934,857263160327368704
0,183,857062103051644929
0,11633,856602993587888130
12446,2068,856526610513747968
545,17,856288084350160898
320,27,855862651834028034
12498,2313,855857698524602368
28056,5943,855818117272018944
0,6568,855245323840757760
24188,6690,854732716440526848
20046,5159,854365224396361728
17169,3433,854010172552949760
37198,11265,853639147608842240
0,2243,852936405516943360
15939,2388,852672615818899456
35325,10961,852311364735569921
12217,1741,852189679701164033
0,23,851861385021730816
25944,7855,851464819735769094
33348,10352,850753642995093505
3647,367,850333567704068097
21944,5459,850019790995546112
0,5513,849668094696017920
12240,2101,849336543269576704
27104,4826,848690551926992896
8834,832,848213670039564288
0,3652,847978865427394560
25296,5730,847962785489326080
7558,468,847617282490613760
22036,4800,847251039262605312
23108,3583,847116187444137987
48410,13076,846514051647705089
34394,10226,846153765933735936
17256,3224,846042936437604353
27154,5365,845677943972139009
8241,2072,845397057150107648
0,8640,845098359547420673
16361,3617,844973813909606400
17871,3533,844580511645339650
16327,3285,843981021012017153
18310,3081,843604394117681152
0,56625,842892208864923648
7321,1439,842765311967449089
26569,6568,842163532590374912
0,17504,841833993020538882
13755,4168,841439858740625411
17305,5312,841314665196081154
0,1972,840761248237133825
197,3,840698636975636481
9761,1972,840632337062862849
20950,6497,840268004936019968
29957,8805,839549326359670784
29684,7422,839239871831150596
12183,2357,838921590096166913
0,12643,838831947270979586
24664,5484,838476387338051585
1824,370,838150277551247360
19183,3582,838083903487373313
4204,495,837482249356513284
23074,6005,837366284874571778
0,88,837012587749474308
21029,5237,836753516572119041
0,626,836648853927522308
16037,3337,836380477523124226
20924,4935,836001077879255040
19447,4121,835574547218894849
0,24013,835309094223372289
8503,1939,835264098648616962
28552,6516,835172783151792128
11838,1878,834931633769889797
14993,2882,834574053763584002
10512,1899,834458053273591808
17194,4130,834167344700198914
14296,2512,834086379323871233
16728,3904,833826103416520705
22585,3636,833722901757046785
22133,5513,833124694597443584
0,43,832769181346996225
13017,3368,832682457690300417
17379,3220,832636094638288896
18792,3652,832369877331693569
0,7069,832215909146226688
72,3,832088576586297345
